2024;AGRUPAMENTO_NATUREZA2;NATUREZA2;AREA;DEPARTAMENTO;SECCIONAL;DP;REGIAO;MUNICIPIO
21;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;101 DP - Jardim das Imbuias;CAPITAL;São Paulo
13;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;046 DP - Perus;CAPITAL;São Paulo
11;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;049 DP - São Mateus;CAPITAL;São Paulo
11;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;2ª Seccional Campinas;009 DP - Campinas;Campinas;Campinas
10;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;090 DP - Parque Novo Mundo;CAPITAL;São Paulo
9;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;095 DP - Heliópolis;CAPITAL;São Paulo
8;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;085 DP - Jardim Mirna;CAPITAL;São Paulo
8;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Osasco;002 DP - Osasco;Grande São Paulo (exclui a Capital);Osasco
7;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;007 DP - Lapa;CAPITAL;São Paulo
7;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;073 DP - Jaçanã;CAPITAL;São Paulo
7;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;002 DP - Carapicuiba;Grande São Paulo (exclui a Capital);Carapicuíba
6;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo
6;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;033 DP - Pirituba;CAPITAL;São Paulo
6;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;099 DP - Campo Grande;CAPITAL;São Paulo
6;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;053 DP - Parque do Carmo;CAPITAL;São Paulo
6;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Cotia;Grande São Paulo (exclui a Capital);Cotia
6;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Praia Grande;002 DP - Praia Grande;Santos;Praia Grande
5;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;070 DP - Vila Ema;CAPITAL;São Paulo
5;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Itapevi;Grande São Paulo (exclui a Capital);Itapevi
5;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;004 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
5;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Osasco;010 DP - Osasco;Grande São Paulo (exclui a Capital);Osasco
5;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Praia Grande;003 DP - Praia Grande;Santos;Praia Grande
5;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;005 DP - Santos;Santos;Santos
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;027 DP - Campo Belo;CAPITAL;São Paulo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;072 DP - Vila Penteado;CAPITAL;São Paulo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;074 DP - Jaraguá;CAPITAL;São Paulo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;100 DP - Jardim Herculano;CAPITAL;São Paulo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;002 DP - Barueri;Grande São Paulo (exclui a Capital);Barueri
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;002 DP - Suzano;Grande São Paulo (exclui a Capital);Suzano
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Santo André;006 DP - Santo André;Grande São Paulo (exclui a Capital);Santo André
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;006 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;DM - Itapecerica da Serra;Grande São Paulo (exclui a Capital);Itapecerica da Serra
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;003 DP - Jundiai;Campinas;Jundiaí
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;075 DP - Jardim Arpoador;CAPITAL;São Paulo
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;009 DP - Carandiru;CAPITAL;São Paulo
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;020 DP - Água Fria;CAPITAL;São Paulo
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;048 DP - Cidade Dutra;CAPITAL;São Paulo
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;063 DP - Vila Jacuí;CAPITAL;São Paulo
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;054 DP - Cidade Tiradentes;CAPITAL;São Paulo
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;001 DP - Carapicuiba;Grande São Paulo (exclui a Capital);Carapicuíba
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;001 DP - Ferraz de Vasconcelos;Grande São Paulo (exclui a Capital);Ferraz de Vasconcelos
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Registro;DM - Miracatú;Santos;Miracatu
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Itapetininga;DM - Quadra;Sorocaba;Quadra
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;017 DP - Ipiranga;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;026 DP - Sacomã;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;096 DP - Monções;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;097 DP - Americanópolis;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;037 DP - Campo Limpo;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;089 DP - Portal do Morumbi;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;019 DP - Vila Maria;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;010 DP - Penha de França;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;030 DP - Tatuapé;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;025 DP - Parelheiros;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;098 DP - Jardim Míriam;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;064 DP - Cidade A E Carvalho;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;066 DP - Vale do Aricanduva;CAPITAL;São Paulo
